id,selsovet_id,сельсовет,краткое_описание,место_название,тип,краткое_описание_места,широта,долгота,verification_status,source_url,notes
sight-01-01,selsovet-01,Мурапталовский сельсовет,Сельское поселение с административным центром в селе Новомурапталово; включает несколько населённых пунктов южной части района. Территория связана с Мурапталовской исторической линией поселений и близостью железнодорожной станции Мурапталово.,Новомурапталово,населённый пункт,Административный центр Мурапталовского сельсовета; координаты подходят как опорная точка карточки сельсовета.,52.424722,55.782222,exact,https://ru.wikipedia.org/wiki/Новомурапталово,
sight-01-02,selsovet-01,Мурапталовский сельсовет,Сельское поселение с административным центром в селе Новомурапталово; включает несколько населённых пунктов южной части района. Территория связана с Мурапталовской исторической линией поселений и близостью железнодорожной станции Мурапталово.,Старомурапталово,памятное место,"Старая деревня рядом с Новомурапталово; в открытых источниках отмечена мечеть, координаты указаны по центру населённого пункта.",52.432778,55.7975,fallback_settlement_center,https://ru.wikipedia.org/wiki/Старомурапталово,"Координаты относятся к деревне, не к отдельному объекту."
sight-02-01,selsovet-02,Якшимбетовский сельсовет,"Сельское поселение с административным центром в селе Якшимбетово; включает населённые пункты, часть которых вошла после преобразований 2008 года. На территории есть населённые пункты с локальными религиозными и памятными объектами.",Якшимбетово,населённый пункт,"Административный центр Якшимбетовского сельсовета; в селе находится мечеть, координаты указаны по центру населённого пункта.",52.561111,55.573056,fallback_settlement_center,https://ru.wikipedia.org/wiki/Якшимбетово_(Куюргазинский_район),"Координаты относятся к селу, не к мечети."
sight-02-02,selsovet-02,Якшимбетовский сельсовет,"Сельское поселение с административным центром в селе Якшимбетово; включает населённые пункты, часть которых вошла после преобразований 2008 года. На территории есть населённые пункты с локальными религиозными и памятными объектами.",Абдулово,памятное место,"Село, бывший административный центр упразднённого Абдуловского сельсовета; координаты подходят как историко-поселенческая точка.",52.624444,55.486667,exact,https://ru.wikipedia.org/wiki/Абдулово_(Куюргазинский_район),
sight-02-03,selsovet-02,Якшимбетовский сельсовет,"Сельское поселение с административным центром в селе Якшимбетово; включает населённые пункты, часть которых вошла после преобразований 2008 года. На территории есть населённые пункты с локальными религиозными и памятными объектами.",Якупово,религиозный объект,"Село, где в источниках указана мечеть «Зульхия»; координаты приведены по центру села как fallback.",52.6275,55.552222,fallback_settlement_center,https://ru.wikipedia.org/wiki/Якупово_(Куюргазинский_район),"Координаты относятся к селу, не к отдельной мечети."
sight-03-01,selsovet-03,Кривле-Илюшкинский сельсовет,Сельское поселение с административным центром в селе Кривле-Илюшкино; включает 12 населённых пунктов. В 2006 году центр был укрупнён за счёт объединения с Новознаменской 2-й.,Кривле-Илюшкино,населённый пункт,"Административный центр сельсовета; в открытом источнике подтверждены статус и описание, но точная машиночитаемая координата в этой выгрузке не зафиксирована.",,,not_found,https://ru.wikipedia.org/wiki/Кривле-Илюшкино,Нужна ручная проверка в Яндекс/Google/OSM.
sight-03-02,selsovet-03,Кривле-Илюшкинский сельсовет,Сельское поселение с административным центром в селе Кривле-Илюшкино; включает 12 населённых пунктов. В 2006 году центр был укрупнён за счёт объединения с Новознаменской 2-й.,Знаменка,населённый пункт,Деревня в составе Кривле-Илюшкинского сельсовета; можно использовать как fallback-точку после ручной проверки.,,,not_found,https://ru.wikipedia.org/wiki/Знаменка_(Куюргазинский_район),Нужна ручная проверка координат.
sight-04-01,selsovet-04,Таймасовский сельсовет,Сельское поселение с административным центром в селе Новотаймасово; включает несколько населённых пунктов северо-западной части района. Исторически связано с башкирскими деревнями Таймасовской группы.,Новотаймасово,населённый пункт,Административный центр Таймасовского сельсовета; координаты подтверждены по открытой странице населённого пункта.,52.788056,55.456389,exact,https://ru.wikipedia.org/wiki/Новотаймасово,
sight-04-02,selsovet-04,Таймасовский сельсовет,Сельское поселение с административным центром в селе Новотаймасово; включает несколько населённых пунктов северо-западной части района. Исторически связано с башкирскими деревнями Таймасовской группы.,Таймасово,историческое место,Село Таймасово — исторический населённый пункт в составе сельсовета; координаты подходят как поселенческая точка.,52.799444,55.464167,exact,https://ru.wikipedia.org/wiki/Таймасово,
sight-05-01,selsovet-05,Шабагишский сельсовет,"Сельское поселение с административным центром в деревне Шабагиш; включает несколько деревень в центральной части района. Для интерактивной карты полезно отображать как административный центр, так и природные/поселенческие ориентиры.",Шабагиш,населённый пункт,Административный центр Шабагишского сельсовета; координаты использовать как опорную точку карточки.,52.716111,55.521944,fallback_settlement_center,https://ru.wikipedia.org/wiki/Шабагиш,Координаты требуют дополнительной валидации перед продакшеном.
